reg,rmse_test_mean,mae_test_mean,nfev_mean,nfev_median,roughness_mean,feller_violation_share,rho_boundary_share,rhoj_boundary_share
0,0.0029285305641936696,0.0012925732408721495,45.125,28.0,0.12448706433225165,0.43943298969072164,0.28994845360824745,0.18170103092783504
1,0.00288969179676688,0.0012792998890244077,26.237113402061855,17.5,0.11266323615307827,0.4793814432989691,0.11855670103092783,0.3234536082474227
3,0.0028948401746902593,0.0012802051898229475,24.1430412371134,15.0,0.1070551492575014,0.4652061855670103,0.11855670103092783,0.26804123711340205
5,0.002897525974063114,0.0012833531070107782,22.045103092783506,15.0,0.09607996564055975,0.4497422680412371,0.1172680412371134,0.2667525773195876
10,0.002904936955741378,0.0012915707039959292,23.02319587628866,13.0,0.08640518502026454,0.42783505154639173,0.1172680412371134,0.2667525773195876
25,0.002930220964594269,0.0013075431817062557,13.903350515463918,10.0,0.0538115662809868,0.29510309278350516,0.28865979381443296,0.25128865979381443
50,0.0029069747864741797,0.0012973415897550341,13.686855670103093,9.0,0.06755880461263483,0.35051546391752575,0.1172680412371134,0.2667525773195876
100,0.0029107719932430632,0.0013040098502068089,11.712628865979381,8.0,0.06176799122284039,0.32603092783505155,0.1172680412371134,0.2667525773195876
250,0.0029614659815309107,0.0013429744447131199,9.471649484536082,7.0,0.0305487217377609,0.24355670103092783,0.3337628865979381,0.25128865979381443
500,0.0029730170306916815,0.001360875631637241,9.315721649484535,6.0,0.025786081324341188,0.23969072164948454,0.3337628865979381,0.25128865979381443
1000,0.002995063125488213,0.0013885831854269738,8.92139175257732,6.0,0.021708498337208722,0.22164948453608246,0.3337628865979381,0.25128865979381443
